TX,Callahan,1
TX,Jones,1
TX,Taylor,1
OH,Portage2,1
OH,Summit,1
GA,Dougherty,2
GA,Lee,2
GA,Terrell,2
GA,Worth,2
OR,Linn,1
NY,Albany,1
NY,Rensselaer,1
NY,Saratoga,1
NY,Schenectady,1
NY,Schoharie,1
NM,Bernalillo,3
NM,Sandoval,3
NM,Torrance,3
NM,Valencia,3
LA,Grant,3
LA,Rapides Parishes,3
PA,Blair,1
TX,Armstrong,2
TX,Carson,2
TX,Oldham,2
TX,Potter,2
TX,Randall,2
IA,Boone,1
IA,Story,1
AK,Anchorage,4
AK,Matanuska-Susitna,4
MI,Washtenaw,1
WI,Calumet,1
WI,Outagamie,1
NC,Buncombe,1
NC,Haywood,1
NC,Henderson,1
NC,Madison,1
NJ,Atlantic,1
GA,Burke,1
GA,Columbia,1
GA,Lincoln,1
GA,McDuffie,1
GA,Richmond,1
SC,Aiken,1
SC,Edgefield,1
TX,Bastrop,1
TX,Caldwell,1
TX,Hays,1
TX,Travis,1
TX,Williamson,1
CA,Kern,3
MD,Anne Arundel,2
MD,Baltimore,2
MD,Carroll,2
MD,Harford,2
MD,Howard,2
MD,Queen Anne's,2
MD,Baltimore City,2
ME,Penobscot,0
MA,Barnstable,1
LA,Ascension,2
LA,Assumption,2
LA,East Baton Rouge,2
LA,East Feliciana,2
LA,Iberville,2
LA,Livingston,2
LA,Pointe Coupee,2
LA,St. Helena,2
LA,West Baton Rouge,2
LA,West Feliciana Parishes,2
MI,Calhoun,2
MI,Bay,1
TX,Hardin,2
TX,Jefferson,2
TX,Orange,2
WA,Whatcom,1
OR,Deschutes,1
MT,Carbon,1
MT,Stillwater,1
MT,Yellowstone,1
NY,Broome,1
NY,Tioga,1
ND,Burleigh,1
ND,Morton,1
ND,Oliver,1
VA,Giles,1
VA,Montgomery,1
VA,Pulaski,1
VA,Radford,1
IL,McLean,1
ID,Ada,1
ID,Boise,1
ID,Canyon,1
ID,Gem,1
ID,Owyhee,1
MA,Boston,1
MA,Cambridge-Newton-Framingham,1
NH,Rockingham,1
NH,Strafford,1
CO,Norfolk,1
CO,Plymouth,1
CO,Suffolk,1
CO,Essex,1
CO,Middlesex,1
CO,Rockingham,0
CO,Strafford,0
CO,Boulder,1
KY,Allen,1
KY,Butler,1
KY,Edmonson,1
KY,Warren,1
WA,Kitsap,1
CT,Fairfield,1
TX,Cameron,1
NY,Erie,1
NY,Niagara,1
NC,Alamance,1
VT,Chittenden,1
VT,Franklin,1
VT,Grand,1
VT,Isle,1
MD,St. Mary's,1
OH,Carroll,1
OH,Stark,1
FL,Lee,1
IL,Alexander,1
MO,Bollinger,1
MO,Cape Girardeau,1
NV,Carson,1
WY,Natrona,1
IA,Benton,1
IA,Jones,1
IA,Linn,1
IL,Champaign,1
IL,Piatt,1
SC,Berkeley,2
SC,Charleston,2
SC,Dorchester,2
VA,Albemarle,1
VA,Buckingham,1
VA,Fluvanna,1
VA,Greene,1
VA,Nelson,1
VA,Charlottesville,1
GA,Catoosa,2
GA,Dade,2
GA,Walker,2
TN,Hamilton,2
TN,Marion,2
TN,Sequatchie,2
CA,Butte,2
IN,Dearborn,1
IN,Franklin,1
IN,Ohio,1
IN,Union,1
KY,Boone,1
KY,Bracken,1
KY,Campbell,1
KY,Gallatin,1
KY,Grant,1
KY,Kenton,1
KY,Pendleton,1
OH,Brown,1
OH,Butler,1
OH,Clermont,1
OH,Hamilton,1
OH,Warren,1
KY,Christian,1
KY,Trigg,1
TN,Montgomery,1
TN,Stewart,1
TN,Bradley,2
TN,Polk,2
OH,Cuyahoga,1
OH,Geauga,1
OH,Lake,1
OH,Lorain,1
OH,Medina,1
ID,Kootenai,1
TX,Brazos,1
TX,Burleson,1
TX,Robertson,1
CO,El Paso,2
CO,Teller,2
MO,Boone,1
MO,Cooper,1
MO,Howard3,1
SC,Calhoun,2
SC,Fairfield,2
SC,Kershaw,2
SC,Lexington,2
SC,Richland,2
SC,Saluda,2
IN,Bartholomew,1
OH,Delaware,1
OH,Fairfield,1
OH,Franklin,1
OH,Hocking,1
OH,Licking,1
OH,Madison,1
OH,Morrow,1
OH,Perry,1
OH,Pickaway,1
OH,Union,1
TX,Nueces,2
TX,San Patricio,2
FL,Okaloosa,1
FL,Walton,1
MD,Allegany,1
WV,Mineral,1
IL,Vermilion,3
IL,Henry,1
